timestamp,value
2024-06-26 00:00:00+02:00,115.6
2024-06-26 01:00:00+02:00,101.88
2024-06-26 02:00:00+02:00,99.0
2024-06-26 03:00:00+02:00,106.8
2024-06-26 04:00:00+02:00,115.0
2024-06-26 05:00:00+02:00,99.5
2024-06-26 06:00:00+02:00,126.0
2024-06-26 07:00:00+02:00,132.84
2024-06-26 08:00:00+02:00,126.46
2024-06-26 09:00:00+02:00,109.94
2024-06-26 10:00:00+02:00,59.6
2024-06-26 11:00:00+02:00,-60.0
2024-06-26 12:00:00+02:00,-142.0
2024-06-26 13:00:00+02:00,-155.0
2024-06-26 14:00:00+02:00,-144.0
2024-06-26 15:00:00+02:00,0.0
2024-06-26 16:00:00+02:00,79.4
2024-06-26 17:00:00+02:00,97.12
2024-06-26 18:00:00+02:00,106.41
2024-06-26 19:00:00+02:00,141.33
2024-06-26 20:00:00+02:00,131.4
2024-06-26 21:00:00+02:00,205.0
2024-06-26 22:00:00+02:00,162.0
2024-06-26 23:00:00+02:00,138.2
